ems_no,county,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
F0721660,新北市,嘉聯益科技股份有限公司樹林廠,新北市樹林區樹東里博愛街二四八號、二四八號四樓、二四八號六樓、二四八號八樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1682-10號,,118/01/07
F0724223,新北市,長聯富企業有限公司樹林廠,新北市樹林區東豐段四七七、四七七之一、四七九及四八六地號等四筆土地,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1711-07號,,116/04/30
F0724269,新北市,日益茂工業股份有限公司,新北市樹林區金寮里樹潭街一之二、一之三號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2200-01號,,118/01/01
F0725257,新北市,遠嘉土石方資源堆置處理場,新北市樹林區中華段四五八地號、四六○之一地號、東山段六九一地號,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1514-06號,,117/06/14
F0725444,新北市,新北市政府環境保護局樹林飛灰固化廠,新北市樹林區中山路三段二一四號,M01,M01 - 廢棄物固化處理程序,操作,新北市環操證字第F1856-03號,,116/10/15
F0725668,新北市,大漢混凝土股份有限公司,新北市樹林區彭厝里八德街二二八號,M01,M01 - 混凝土拌合程序,操作,新北市環操證字第F1616-05號,,119/08/04
F0795268,新北市,泰藝電子股份有限公司樹林廠,新北市樹林區金寮里樹潭街五號,M01,M01 - 其他被動電子元件製造程序,操作,新北市環操證字第F1847-05號,,118/10/02
F07A0708,新北市,德勝家畜屠宰場,新北市樹林區柑園街一段一之一號,M01,M01 - 屠宰作業程序,操作,新北市環操證字第F2001-03號,,119/08/19
F07A0986,新北市,偉貿股份有限公司二廠,新北市樹林區圳民里中正路二二二號,M01,M01 - 印染整理程序,操作,新北市環操證字第F1740-03號,,117/05/13
F07A1172,新北市,魔術食品工業股份有限公司二廠,新北市樹林區金寮里武林街九之一號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2238-01號,,119/01/14
F07A1211,新北市,龍榕金屬有限公司,新北市樹林區金寮里樹潭街一之五號一樓,M01,M01 - 其他基本金屬鑄造製造程序,操作,新北市環操證字第F2191-00號,,117/11/21
F07A1231,新北市,榮興橡膠工業有限公司樹林廠,新北市樹林區三龍里三龍街一一六號一樓,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F1772-03號,,119/03/23
F07A1261,新北市,美正紙器股份有限公司樹林廠,新北市樹林區金寮里樹潭街一二之一號,M01,M01 - 平版印刷作業程序,操作,新北市環操證字第F2202-00號,,118/01/11
F07A1508,新北市,煌輝食品企業有限公司,新北市樹林區中正路二六四巷一號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2115-00號,,116/01/25
F07A2100,新北市,凱將電子有限公司,新北市樹林區三龍街二四巷一號一樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1824-03號,,115/09/03
F07A2754,新北市,濟展塑膠工業有限公司,新北市樹林區東山里東順街五七巷一七號一、二樓,M01,M01 - 押出成型程序,操作,新北市環操證字第F1864-02號,,117/05/28
F07A2764,新北市,濟展塑膠工業有限公司樹林二廠,新北市樹林區東順街五七巷一三號(一之二樓)、一五號(一之二樓),M01,M01 - 押出成型程序,操作,新北市環操證字第F1863-02號,,117/05/28
F07A2972,新北市,香港商卡秀萬輝高新材料有限公司台灣分公司,新北市樹林區東山里東順街七○號一樓,M01,M01 - 油漆化學製造程序,操作,新北市環操證字第F1859-04號,,117/06/10
F07A3178,新北市,橡技工業股份有限公司樹林二廠,新北市樹林區工興街一八之一、一八之二、一八之三號,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F1834-03號,,118/03/10
F07A3346,新北市,瑋鋒科技股份有限公司,新北市樹林區樹東里博愛街二四○號一至四樓,M01,M01 - 工業用膠製造程序,操作,新北市環操證字第F1882-03號,,118/08/31
F07A3594,新北市,邦協發展企業有限公司,新北市樹林區東園里田尾街一九三巷二一之二號,M01,M01 - 押出成型程序,操作,新北市環操證字第F1974-01號,,115/01/28
F07A3722,新北市,雙翼食品有限公司,新北市樹林區三福里忠愛街一號(一樓)及三號(一、二樓),M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2250-00號,,119/05/19
F07A4116,新北市,鴻騰電子股份有限公司,新北市樹林區三多里三俊街一五四號一樓,M01,M01 - 其他金屬表面處理程序,操作,新北市環操證字第F1959-03號,,115/10/09
F07A4512,新北市,金奕科技有限公司,新北市樹林區鎮前街二六九巷二九弄一六號(一、二、三樓),M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F2217-00號,,118/05/09
F07A5491,新北市,聯賓塑膠股份有限公司二廠,新北市樹林區金寮里樹潭街四號一至五樓,M01,M01 - 塑膠膜袋製造程序; M02 - 凹版印刷作業程序,操作,新北市環操證字第F2166-00號; 新北市環操證字第F2074-03號,,119/12/06
F07A6449,新北市,定慶企業股份有限公司,新北市樹林區金寮里武林街四號、四之一號、四之三號,M01,M01 - 印染整理程序; M02 - 熱媒加熱程序,操作,新北市環操證字第F1911-02號; 新北市環操證字第F1905-02號,,118/12/31
F07A6637,新北市,聲嘉企業股份有限公司樹林廠,新北市樹林區東山里東大街二四號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1949-01號,,115/08/01
F07A7150,新北市,全盛美食有限公司,新北市樹林區三多里保安街三段一巷一號,M01,M01 - 其他食品製造程序,設置,新北市環設證字第F1357-00號,,118/12/08
F07A7180,新北市,大廣企業股份有限公司二廠,新北市樹林區樹潭街八號(一、二樓),M01,M01 - 印染整理程序; M02 - 熱媒加熱程序; M03 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1914-02號; 新北市環操證字第F1915-02號; 新北市環操證字第F1916-03號,,119/04/20
F07A7249,新北市,建美食品有限公司樹林廠,新北市樹林區圳民里俊英街二一九巷四五弄八之一號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F1935-02號,,119/09/20
F07A8504,新北市,玉梃有限公司,新北市樹林區北園里西圳街一段二二之二號,M01,M01 - 押出成型程序,操作,新北市環操證字第F1927-02號,,119/07/27
F07A8514,新北市,好滿鎰有限公司,新北市樹林區北園里民權街五巷二號,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1936-02號,,118/10/21
F07A8683,新北市,台味開發有限公司,新北市樹林區南園里佳園路三段一○一巷六二弄五二之一五號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F1977-02號,,119/08/09
F07A9681,新北市,燊宏實業有限公司二廠,新北市樹林區三龍里三俊街八一巷三二弄一號一、二樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F2020-03號,,117/12/26
F07B0547,新北市,久翔食品股份有限公司,新北市樹林區金寮里武林街一六號之一(一至二樓)、一六之二號一樓,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2253-00號,,119/07/01
F07B2375,新北市,世芳預拌混凝土有限公司,新北市樹林區中正路二○五號,M01,M01 - 混凝土拌合程序,操作,新北市環操證字第F2034-02號,,118/07/17
F07B3670,新北市,富資橡膠工業有限公司,新北市樹林區北園里西圳街二段四二巷一二號,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F2113-00號,,116/01/17
F07B3729,新北市,益順橡膠企業社,新北市樹林區北園里西圳街二段四二巷一二之一號,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F2110-00號,,116/01/09
F07B3739,新北市,宏開橡膠工業有限公司樹林廠,新北市樹林區北園里民權街五巷二九號,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F2088-01號,,118/12/03
F07B3749,新北市,偉勝橡膠實業有限公司,新北市樹林區北園里西圳街二段三四號,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F2196-00號,,117/12/19
F07B3759,新北市,長庚國際能源股份有限公司樹林廠,新北市樹林區東山里味王街五五號一、二樓,M01,M01 - 其他電池製造程序,設置,新北市環設證字第F1148-02號,,119/05/11
F07B3868,新北市,廣德隆食品股份有限公司,新北市樹林區東園里柑園街一段一九二號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2064-02號,,119/09/09
F07B3907,新北市,源彰企業有限公司,新北市樹林區柑園里柑園街二段三七八巷一四號,M01,M01 - 工業用橡膠製品製造程序,操作,新北市環操證字第F2068-01號,,119/10/03
F07B3967,新北市,岳騰興業股份有限公司,新北市樹林區彭厝里八德街二二六號,M01,M01 - 塗料製造程序,操作,新北市環操證字第F2153-01號,,117/02/21
F07B4024,新北市,僑營橡膠工業股份有限公司,新北市樹林區南園里佳園路三段九九巷一一號一樓,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F2070-01號,,119/10/26
F07B4183,新北市,吉米地食品有限公司樹林廠,新北市樹林區三龍里三龍街一二四號一樓,M01,M01 - 其他食品製造程序,設置,新北市環設證字第F1327-00號,,118/06/12
F07B4896,新北市,台箔科技股份有限公司,新北市樹林區寶園街八之二號,M01,M01 - 凹版印刷作業程序,操作,新北市環操證字第F2135-00號,,116/10/19
F07B4965,新北市,鋒美食品實業有限公司,新北市樹林區彭厝里東豐街四九巷二二弄二三號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2116-00號,,116/02/28
F07B5042,新北市,喬彤企業有限公司,新北市樹林區東園里柑園街一段六五巷五三號一樓,M01,M01 - 押出成型程序,操作,新北市環操證字第F2124-01號,,116/07/05
F07B5092,新北市,台灣大車隊股份有限公司樹林廠,新北市樹林區金寮里武林街一八號,M01,M01 - 織物乾洗作業程序,操作,新北市環操證字第F2131-00號,,116/09/05
F07B5230,新北市,御瀧食品企業有限公司,新北市樹林區三俊街一三五巷二四號一樓,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2149-00號,,117/02/08
F07B5260,新北市,南亞電路板股份有限公司樹林一廠,新北市樹林區東山里味王街五七號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F2146-01號,,117/01/12
F07B5755,新北市,巍巍有限公司,新北市樹林區東山里東順街六○巷六號一樓,M01,M01 - 塗料製造程序,操作,新北市環操證字第F2145-00號,,117/01/12
F07B5943,新北市,昱豐科技紡織有限公司,新北市樹林區金寮里樹潭街一○之九號、一○之一一號,M01,M01 - 印染整理程序,操作,新北市環操證字第F2125-01號,,116/07/19
F07B6070,新北市,四季齋食品有限公司樹林廠,新北市樹林區中山路二段一五一巷一四弄二三號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2154-00號,,117/02/29
F07B6218,新北市,焌峰工業有限公司,新北市樹林區北園里佳園路二段一五巷一三號,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F2129-00號,,116/08/29
F07B6298,新北市,永新圖染工業股份有限公司樹林廠,新北市樹林區東山里味王街一號一樓,M01,M01 - 凹版印刷作業程序,操作,新北市環操證字第F2140-00號,,116/12/11
F07B6377,新北市,尚質實業有限公司三龍廠,新北市樹林區三龍里三龍街四五巷一號,M01,M01 - 印刷電路板製造程序,設置,新北市環設證字第F1319-00號,,118/03/07
F07B6515,新北市,賽門鄧普拉食品有限公司,新北市樹林區圳生里俊興街二二四巷一、三號一樓,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2189-00號,,117/11/15
F07B6575,新北市,中昱工程有限公司,新北市樹林區中正路四三三之二號,M01,M01 - 混凝土拌合程序,設置,新北市環設證字第F1265-00號,,117/01/30
F07B6713,新北市,鴻宇塗料有限公司,新北市樹林區三多里俊興街二一一巷一九號,M01,M01 - 印刷油墨化學原料製造程序,操作,新北市環操證字第F2201-00號,,118/01/11
F07B6812,新北市,鑫誠工業有限公司,新北市樹林區三多里三俊街九○巷五六弄一號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2228-00號,,118/11/25
F07B7018,新北市,冠福印染股份有限公司,新北市樹林區三多里中正路五五六巷六號,M01,M01 - 凹版印刷作業程序,操作,新北市環操證字第F2197-00號,,117/12/21
F07B7216,新北市,丹鐠實業有限公司,新北市樹林區圳生里俊安街二四巷一○弄八號一樓,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2208-01號,,118/02/25
F07B7484,新北市,𨥭晟實業股份有限公司,新北市樹林區彭厝里東豐街七三號,M01,M01 - 鋅合金壓鑄件製造程序,操作,新北市環操證字第F2227-00號,,118/11/24
F07B7494,新北市,大于企業股份有限公司俊安廠,新北市樹林區圳生里俊安街三號,M01,M01 - 其他電線及電纜（含光纖電纜）製造程序,設置,新北市環設證字第F1360-00號,,118/12/22
F07B7622,新北市,幸孚預拌混凝土廠股份有限公司樹林廠,新北市樹林區三角埔段○四七○之○○○一地號,M01,M01 - 混凝土拌合程序,設置,新北市環設證字第F1335-00號,,118/07/30
F07B8373,新北市,壹葉企業有限公司,新北市樹林區東順街七二號,M01,M01 - 油漆化學製造程序,設置,新北市環設證字第F1378-00號,,119/11/02
F07B8749,新北市,鈞唯金屬有限公司,新北市樹林區三多里中正路五○八號,M01,M01 - 鋁鑄造製造程序,設置,新北市環設證字第F1372-00號,,119/07/30
F0200335,新北市,茂森木業股份有限公司,新北市三重區大有里中正北路五六○巷四九號,M02,M02 - 合板製品製造程序,操作,新北市環操證字第F0686-12號,,118/10/01
F0200399,新北市,寶群紙器股份有限公司,新北市三重區谷王里五谷王北街六六巷四五號,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0681-09號,,117/06/13
F0201172,新北市,璟鋒紙業股份有限公司,新北市三重區德厚里後埔街八○號,M03,M03 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0816-06號,,116/09/16
F0201387,新北市,勤宗電鍍工業股份有限公司,新北市三重區國道路一段六一、六二號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0860-05號,,116/03/14
F0201396,新北市,福昇鍍金工業股份有限公司,新北市三重區頂崁里中興北街一六○巷三○號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F1125-07號,,119/01/20
F0201485,新北市,宏進電子工業有限公司,新北市三重區中興里光復路一段三○巷八號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F0340-07號,,117/09/15
F0201565,新北市,秋棠企業股份有限公司,新北市三重區永發里大勇街八二巷二六弄二八、三○、三二號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0842-06號,,116/12/19
F0202008,新北市,順世企業有限公司,新北市三重區中興北街一○四巷一二號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0862-06號,,117/12/02
F0202035,新北市,可豐工業有限公司,新北市三重區中興里中興南街二九之五號,M01,M01 - 其他金屬品處理加工程序,操作,新北市環操證字第F0898-05號,,115/05/09
F0204584,新北市,復盛股份有限公司三重工廠,新北市三重區頂崁里光復路二段六○號,M01,M01 - 金屬表面塗裝程序,操作,新北市環操證字第F0800-08號,,118/04/01
F0206506,新北市,祥楠興業有限公司,新北市三重區頂崁里中興北街二○四巷二六號一樓,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F1669-03號,,117/01/09
F0211847,新北市,富源環保科技股份有限公司,新北市三重區頂崁里中興北街二四七巷一號,M01,M01 - 使用熱處理法處理有害事業廢棄物製造程序,操作,新北市環操證字第F1842-03號,,116/09/19
F0212415,新北市,大禧工業股份有限公司光復廠,新北市三重區中興里光復路二段三六號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1670-07號,,118/03/10
F02A3272,新北市,台灣莫仕股份有限公司三重分公司(三重廠),新北市三重區中興里中興北街四四號一、二、三、四、六樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1799-04號,,117/03/28
F02B0899,新北市,新北食品股份有限公司,新北市三重區永發里國道路一段五九號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2248-00號,,119/05/05
F02B4386,新北市,東坤國際實業有限公司,新北市三重區頂崁里光復路二段一八八號一、二樓,M01,M01 - 其他食品製造程序,設置,新北市環設證字第F1370-00號,,119/07/14
F02B5007,新北市,統鮮美食股份有限公司,新北市三重區頂崁里中興北街一三六巷一八弄一八號一、二樓,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2260-00號,,119/09/01
F02B5087,新北市,中精壓鑄股份有限公司三重廠,新北市三重區頂崁里光復路二段七四號,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F2023-02號,,118/01/21
F02C5549,新北市,竹根有限公司國道廠,新北市三重區永發里國道路一段五八巷一八號,M01,M01 - 其他玻璃及其製品製造程序,設置,新北市環設證字第F1344-00號,,118/10/15
F02C6646,新北市,家氏滷國際有限公司三重廠,新北市三重區頂崁里光復路二段一二九巷四號、四號二樓、四號三樓,M01,M01 - 其他食品製造程序,設置,新北市環設證字第F1377-00號,,119/11/03
F0600433,新北市,同院鑄造工廠股份有限公司,新北市新莊區頭前里化成路三二五巷一七號,M01,M01 - 鋼鑄造程序,操作,新北市環操證字第F0095-07號,,119/08/26
F0600684,新北市,台灣銘板股份有限公司,新北市新莊區西盛里新樹路二○六巷一五號,M01,M01 - 網版印刷作業程序,操作,新北市環操證字第F1889-05號,,116/12/19
F0601118,新北市,遠東乾燥股份有限公司,新北市新莊區西盛里新樹路三三三巷七號,M01,M01 - 飼料製造程序,操作,新北市環操證字第F1760-03號,,119/02/17
F0601145,新北市,新錏企業股份有限公司,新北市新莊區丹鳳里壽山路一七八號一樓,M01,M01 - 其他金屬二級熔煉製造程序,操作,新北市環操證字第F0047-10號,,116/05/08
F0601341,新北市,良府鑄造有限公司,新北市新莊區西盛里環漢路三段 五二六號,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F1867-04號,,116/03/18
F0601707,新北市,廣達香食品股份有限公司,新北市新莊區頭前里化成路三八二巷一八號,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0674-07號,,119/01/20
F0601734,新北市,亞力電機股份有限公司新莊廠,新北市新莊區西盛里瓊林南路三一七號、新樹路六四五號,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F0142-06號,,116/01/04
F0601752,新北市,華新麗華股份有限公司新莊一廠,新北市新莊區西盛里新樹路三九七號,M04,M04 - 鍋爐蒸氣產生程序; M05 - 塑膠電線電纜製造程序,操作,新北市環操證字第F0210-12號; 新北市環操證字第F2005-03號,,119/03/28
F0601789,新北市,臺灣湯淺電池股份有限公司,新北市新莊區福營里福營路二二七巷一一號,M01,M01 - 鉛蓄電池製造之極板製造程序; M02 - 鉛蓄電池製造之組立程序,操作,新北市環操證字第F0345-07號; 新北市環操證字第F0346-07號,,115/12/30
F0602071,新北市,友煒企業有限公司,新北市新莊區西盛里新樹路二六八巷二六號之七之八,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F1042-07號,,115/05/03
F0602446,新北市,衛生福利部臺北醫院,新北市新莊區思源路一二七號、長青街六號二樓、三樓,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0465-12號,,117/04/11
F0602455,新北市,燿煒實業有限公司,新北市新莊區思源里思源路六一巷六、八號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1906-03號,,119/05/30
F0602535,新北市,中華電線電纜股份有限公司,新北市新莊區新樹路二九○號,M01,M01 - 鋁鑄造製造程序; M03 - 押出成型程序,操作,新北市環操證字第F0188-08號; 新北市環操證字第F1961-03號,,116/01/08
F0602660,新北市,煜峰企業股份有限公司,新北市新莊區福營里福營路一六五巷四九弄六號,M01,M01 - 電鍍製造程序,操作,新北市環操證字第F2236-01號,,119/01/14
F0602937,新北市,尚樺電鍍有限公司,新北市新莊區頭前里化成路七三六巷二八號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F1302-05號,,116/04/24
F0603194,新北市,庚瑩工業有限公司,新北市新莊區國泰里新樹路六九之六五號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0692-07號,,120/01/11
F0603390,新北市,國豐造漆有限公司,新北市新莊區後港一路一八五號,M01,M01 - 塗料製造程序; M03 - 其他化學製品製造程序,操作,新北市環操證字第F0330-06號; 新北市環操證字第F0332-06號,,117/03/05
F0603612,新北市,星晨電路股份有限公司,新北市新莊區西盛里瓊林南路二七五巷一○號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1560-06號,,116/05/05
F0603621,新北市,九富企業有限公司,新北市新莊區西盛里新樹路四九七巷一三弄二一號,M01,M01 - 其他清潔用品製造程序,設置,新北市環設證字第F1368-00號,,119/05/05
F0603809,新北市,晟鈦股份有限公司,新北市新莊區西盛里瓊林南路三○五巷二、四、六號及三○七、三○九、三一一、三一三號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F0337-10號,,119/07/20
F0605134,新北市,一詮精密工業股份有限公司二廠,新北市新莊區五工五路一七、一九號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0943-06號,,119/06/14
F0605652,新北市,泰棧彩色印刷廠,新北市新莊區建國二路八六巷一七號,M01,M01 - 凹版印刷作業程序,操作,新北市環操證字第F0416-07號,,118/04/28
F0605723,新北市,九皇有限公司,新北市新莊區西盛里新樹路三一五巷一四號,M01,M01 - 印染整理程序; M02 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1692-05號; 新北市環操證字第F1204-06號,,116/09/05
F0606104,新北市,東誠電線電纜股份有限公司,新北市新莊區西盛里瓊林南路二三九號,M01,M01 - 漆包線製造程序,操作,新北市環操證字第F0782-09號,,119/07/06
F0606131,新北市,芳福企業有限公司,新北市新莊區福基里化成路三七五巷三五、三七號,M01,M01 - 動物油處理製造程序,操作,新北市環操證字第F0677-09號,,116/08/21
F0610706,新北市,協熱工業股份有限公司,新北市新莊區福基里化成路四三一巷六九號,M01,M01 - 其他金屬熱處理程序,操作,新北市環操證字第F2045-04號,,119/01/13
F0610733,新北市,鼎祐電子工業股份有限公司新莊二廠,新北市新莊區西盛里新樹路三一五巷一三號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1501-07號,,117/08/29
F0620088,新北市,三菘企業股份有限公司新莊廠,新北市新莊區西盛里瓊林南路二六五號,M01,M01 - 其他化學材料製造業製造程序,操作,新北市環操證字第F1623-05號,,115/10/22
F0620597,新北市,泰菁電子科技股份有限公司新莊廠,新北市新莊區福營里福營路二五三號二樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1631-04號,,118/08/10
F0620604,新北市,金瑚表面處理有限公司,新北市新莊區化成里化成路一一巷二七、二九號,M01,M01 - 其他金屬品處理加工程序,操作,新北市環操證字第F1609-03號,,115/03/08
F0622199,新北市,永坤科技股份有限公司,新北市新莊區福營里福營路二二七巷五五號,M01,M01 - 電鍍製造程序,操作,新北市環操證字第F0755-07號,,119/02/17
F0622537,新北市,九滎股份有限公司瓊林廠,新北市新莊區西盛里瓊林南路三○一巷二號,M02,M02 - 印染整理程序; M03 - 熱媒加熱程序,操作,新北市環操證字第F1539-07號; 新北市環操證字第F1634-05號,,119/04/19
F0622582,新北市,鼎恩企業股份有限公司,新北市新莊區西盛里新樹路三八七巷五、七、九號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1545-07號,,115/04/23
F0623409,新北市,立方橡膠工業股份有限公司,新北市新莊區中正路五四四之七號一樓,M01,M01 - 其他橡膠製品製造程序,操作,新北市環操證字第F2093-00號,,115/07/22
F0626277,新北市,宏耀實業有限公司,新北市新莊區西盛里新樹路二九三巷六號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1707-04號,,118/03/04
F0626473,新北市,裕信汽車股份有限公司,新北市新莊區思源路四○之一號,M01,M01 - 金屬表面塗裝程序,操作,新北市環操證字第F1744-07號,,118/11/04
F06A0634,新北市,鉅威彩藝印刷事業有限公司,新北市新莊區化成里化成路一一三巷一七號一樓,M01,M01 - 平版印刷作業程序,操作,新北市環操證字第F2059-01號,,119/07/20
F06A1840,新北市,珈晟科技有限公司,新北市新莊區西盛里民安路四二○巷八號、一○號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1732-03號,,119/11/02
F06A2353,新北市,相互股份有限公司,新北市新莊區化成路一九五巷二五號,M01,M01 - 印刷電路板製造程序,設置,新北市環設證字第F1375-00號,,119/09/22
F06A2581,新北市,皓智企業股份有限公司,新北市新莊區福興里五權二路二六號四樓之一,M01,M01 - 其他電子零組件製造程序,操作,新北市環操證字第F1749-04號,,118/09/16
F06A2630,新北市,子緯有限公司,新北市新莊區頭前里化成路二一一巷二八號,M01,M01 - 印染整理程序,操作,新北市環操證字第F1781-03號,,119/08/24
F06A3747,新北市,頂晟塑膠有限公司,新北市新莊區西盛里新樹路三一三號一樓,M01,M01 - 押出成型程序,操作,新北市環操證字第F1780-03號,,119/11/03
F06A4032,新北市,元茂熱處理工業有限公司,新北市新莊區化成路一九五巷一三號一樓,M01,M01 - 其他金屬熱處理程序,操作,新北市環操證字第F1893-03號,,118/07/22
F06A5040,新北市,特異有限公司,新北市新莊區民安路四二○巷四號一、二樓,M01,M01 - 其他金屬表面處理程序,操作,新北市環操證字第F1828-03號,,118/04/11
F06B0116,新北市,三崙實業股份有限公司,新北市新莊區西盛里環漢路三段 五二七號一、二樓,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F2100-00號,,115/09/08
F06B2093,新北市,信鍇實業股份有限公司第1廠,新北市新莊區建安里建國二路九九號,M01,M01 - 鋅壓鑄件製造程序,操作,新北市環操證字第F2214-00號,,118/04/14
F06B3803,新北市,上將食品有限公司,新北市新莊區頭前里幸福東路八六號一、二、三樓、九○號、九二號,M01,M01 - 其他食品製造程序,操作,新北市環操證字第F2010-03號,,118/12/21
